row_id,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,future_demand
1,15.785890902244027,12.661933735223696,0.758937904239618,-19.931247454765693,27.67831569704455,0.5915315159770214,184.6754634130251,0.3697941876182214,13.438525082397202,-54.38982286290409,48.93750705133639,75.76819208314947,cat_3,cat_2,cat_0,cat_4,0.7262136315406802,182.5391234596569,14.77310508744054,-0.3797901956860254
2,3.431162039830766,5.9590195421339525,0.6225403269693892,-15.341262705377826,20.76771552896023,0.06176399119644554,144.9651647149991,0.39574530151613657,28.440279553138115,11.045481257443825,59.940909095187344,101.18877640695698,cat_0,cat_4,cat_3,cat_1,0.668750847743151,,1.5760622420055397,-0.8172424440844144
3,10.537260909947422,3.61751884097849,0.48219415393483483,-17.928254073226146,36.71525437838557,0.19094936732063325,104.02353892556147,0.6644402580753133,74.63729402941611,13.868899059398274,34.24171814370003,100.91610545854748,cat_3,cat_3,cat_4,cat_1,0.5051580425160371,105.83596728633773,18.65987211068505,0.05393238694098122
7,4.577678795417751,6.327243744938793,0.5476019206134402,-17.11954176133848,14.787388460425731,0.07833149460022082,165.8977252689973,0.46138231100899896,72.30748783249571,35.84962709762865,29.558442824895746,85.4399319523711,cat_2,cat_2,cat_2,cat_4,0.5566460272239179,165.42179906356742,6.528918118861522,-1.5717318739044686
10,0.7236701397144041,8.642495895637417,0.476334024368178,-11.77466666788547,62.4971088516232,0.251986460161953,150.19830485349866,0.5389644658660484,,-8.740735302105087,34.54607561556769,65.04107967192382,cat_2,cat_2,cat_4,cat_1,0.4846512737940858,150.77800592004093,-4.5075990548191545,-1.182990991433074
11,17.80339794661411,14.19445637869461,0.7449201955117504,-25.18152794817906,65.81951277858681,0.06603967630631194,68.62288504747629,0.3418657465088196,61.675163472613235,-24.120147170426282,36.75843895608938,75.18931550117176,cat_1,cat_0,cat_1,cat_4,0.7732072861065242,69.70983536429252,17.319652706764096,1.1770476011680517
13,10.260380039811226,,0.26598081007926805,-18.386145156738756,43.62585454646989,,92.94159510285654,0.43926556614224715,-54.080058362867646,-136.6537100451661,57.597001660761805,90.34709684468595,cat_0,cat_2,,cat_0,0.29678525476138856,93.58668375372449,14.68452804111261,-0.70650087646681
14,19.6049398554894,16.605024294516554,0.7770891920745162,-24.97356065438554,67.14847434937226,0.11407405734800731,108.33318374550228,0.3834407279619777,44.6793805843141,-2.7511878240908274,74.15019763823514,98.10470382639971,cat_0,cat_2,cat_2,,0.8868735861981347,111.01860623851238,17.45354968996758,1.1102511442462282
15,11.465301225390272,4.987672575358317,0.2704136798164395,-16.71468115695858,15.717661559975543,0.014252881011052008,203.4532015570529,0.17766924251482846,32.46154319687349,-81.57361954695808,71.94225776723405,107.38605665440916,cat_0,cat_0,cat_4,cat_1,0.24861338877204636,203.60159861455458,12.847482852741532,-0.07211745813525905
17,22.470299728157826,8.32171265655506,0.6508613527464877,-18.48240696672438,30.73492730985107,0.25609876194812536,92.0180997842978,0.3385928110417628,80.79661644507189,-38.27775180392005,79.35026592843309,82.3344907825407,cat_0,cat_2,cat_2,cat_1,0.5969946067307592,95.72846842534209,17.838260196493323,-0.2097180185099435
